name;profile
;
Statclean Technology (S) Pte Ltd;Statclean Technology has been recognized as a one-stop-solution provider for Cleanroom and Electrostatic control products such as Clean Room Bags, Esd Bags, Clean Room Furniture / Equipment, Esd Grounding, Esd Tapes.
Wijaya Brothers Sky (Wibrosky);Manufacturer of Food Packaging, Non Woven Bags, Aluminum Heat-sealable Packaging and Rice Packaging
