name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
Cheung Woh Technologies Ltd;Singapore Ironmongers, Suppliers of Metalwork, Electroplating Equipment, Metal Shaping, Architectural Hardware, Ironmongers, Metalwork, Electroplating Equipment, Metal Shaping, Metalworking, Nickel Chrome Electroplating, Stainless Steel Passivation Services;http://singapore-companies-directory.com/Company_Profiles/C46/cheung_woh_technologies.htm;;;;;;;;;Furniture;DIY Hardware
Chia Hiap Seng Hardware Company;Singapore Industrial Hardware Supplies Company Suppliers of Gears, Gear Cutting, Measuring Instruments, Industrial Equipment, Industrial Supplies, Industrial Services, Measuring Instruments, Calipers, Micrometers, Dial Indictors, Zero Setters, Plug Gages, Ring Gages, Gage Blocks, Pin Gages, top grade cutting, milling, turning and grinding accessories and tools for your machining needs.;http://singapore-companies-directory.com/Company_Profiles/C48/chia_hiap_seng.htm;;;;;;;;;Furniture;DIY Hardware
Chia Hoe Mechanical Engineering Services;Singapore Engineers, Engineering Consultants, Engineering Works, Mechanical Engineering Works, Architectural Hardware, Ironmongers, Metalwork, Engineering Services, Jigs and Fixtures, Metal Stamping, Metal Stamping Tools, Metalworking Machinery, Metalworking Services, Toolmakers, Toolmaking Services.;http://singapore-companies-directory.com/Company_Profiles/C48/chia_hoe_mechanical.htm;;;;;;;;;Furniture;DIY Hardware
Chin Huat Handware & Engineering (Pte) Ltd;Singapore Expanded Metals Machining Machine Company, Gears & Gear Cutting Shops, Industrial Machinery, Industrial Equipment, Industrial Supplies, Industrial Services;http://singapore-companies-directory.com/Company_Profiles/C52/chin_huat_handware.htm;;;;;;;;;Furniture;DIY Hardware
Chin Huat Offshore Supply Pte Ltd;Singapore Offshore Supplies Company Suppliers of Pipes, Pipe Fittings, Marine Equipment, Marine Supplies, Marine Services, Plates, Sheet, Valves, Pipes, Tubes, Fittings, Flanges, Bolts & Nuts, Gaskets, Dish Heads, Machine Shop Services, Forging & Castings;http://singapore-companies-directory.com/Company_Profiles/C52/chin_huat_offshore.htm;;;;;;;;;Furniture;DIY Hardware
Chin Yuan Metal Pte Ltd;Singapore Hardware Company Suppliers of Marine Supplies, U-Bolts, Anchor Bolts, Pipe Clamps, Square Head Bolts, T- Bolts, Eye Bolts;http://singapore-companies-directory.com/Company_Profiles/C54/chin_yuan_metal.htm;;;;;;;;;Furniture;DIY Hardware
Chiron Hardware Trading;Singapore Hardware Company Suppliers of materials in sheets, rods, tubes, angle, bars, pipes, plates, ingots and more, namely Aluminium, Brass, Copper, Alu-Brass, Cupro Nickel, Naval Brass, Stainless Steel, Lead, Titanium, Manganese Bronze;http://singapore-companies-directory.com/Company_Profiles/C58/chiron_hardware.htm;;;;;;;;;Furniture;DIY Hardware
Chop Aik Hong Pte Ltd;Singapore Hardware Trading Company Suppliers of Hardware, Hand Tools, Garden Tools, Sanitary Wares, Building Materials, Construction Materials. Importers & exporters of hardware, hand tools, garden tools, sanitary wares, Abrasives, Hand Tools, Cutting Tools,;http://singapore-companies-directory.com/Company_Profiles/C64/chop_aik_hong.htm;;;;;;;;;Furniture;DIY Hardware
CHOP Kah Lam Hardware Engineering Pte Ltd;Singapore Hardware Engineering Company Suppliers of Hardware, Pipe Bending, Pipe Fabricating, Pipes, Pipe Fittings. Providing a wide range of engineering products by means of conventional and advanced machining processes.;http://singapore-companies-directory.com/Company_Profiles/C64/chop_kah_lam_hardware_engineering.htm;;;;;;;;;Furniture;DIY Hardware
Chop Keat Cheong;Singapore Hardware Engineering Company Suppliers of Metal Bending, Metal Straightening, Metal Products, Metal Bending & Straightening. Engineering Services, Engineers, Engineering Consultants, Engineering Works;http://singapore-companies-directory.com/Company_Profiles/C64/chop_keat_cheong.htm;;;;;;;;;Furniture;DIY Hardware
Choy Hing Industries;Singapore Hardware Company, Suppliers of Keys, Locks, Fasteners, Architectural Hardware, Ironmongers, Ironmongery, Metalwork;http://singapore-companies-directory.com/Company_Profiles/C65/choy_hing_industries.htm;;;;;;;;;Furniture;DIY Hardware
Chuan Heng Huat Pte Ltd;"Singapore Trading Company Suppliers of Hardware, Building Materials, Construction Materials, Glass Blocks ,Glass Bricks, Architectural, Block, Structural Glass, Glass, Glass Equipment, Hand Trucks. Trading of building materials, steel materials, cement, timber & plywood, hardware, food products; warehousing services; property investment";http://singapore-companies-directory.com/Company_Profiles/C69/chuan_heng_huat.htm;;;;;;;;;Furniture;DIY Hardware
Chuan Hock Hardware Co Pte Ltd;Singapore Hardware Company Suppliers of Pipes, Pipe Fittings, Marine Equipment, Marine Supplies;http://singapore-companies-directory.com/Company_Profiles/C69/chuan_hock_hardware.htm;;;;;;;;;Furniture;DIY Hardware
Chuan Huat Tong Kee Co;Singapore Hardware Company Suppliers of Hand Tools, Electric Tools, Building Materials, Hardware. Retailers of hand tools, electric tools, building materials. Stockist of Hardware & Engineering Materials - Copper, Brass & Brass Alloys, Bronze & Bronze Alloys, Copper Alloys & Special Alloys;http://singapore-companies-directory.com/Company_Profiles/C70/chuan_huat_tong_kee.htm;;;;;;;;;Furniture;DIY Hardware
Chuan Joo Hardware Co Pte Ltd;Singapore Hardware Company Suppliers of Steel Pipes, Steel Tubes, Hose Fittings, Metal Products, Fabricated Structures, Iron, Metal Products, Metals, Pipes, Tubes, Hose Fittings, Pipe Accessories, Pipe Fittings, Pulleys, Steel Bars, Steel Channels, Steel Products, Steel Rods;http://singapore-companies-directory.com/Company_Profiles/C70/chuan_joo_hardware.htm;;;;;;;;;Furniture;DIY Hardware
Chuan Kee Steel Pte Ltd;Singapore Steel Fabricators Suppliers of Metal Products, Steel Products, Steel Formwork, Steel Sand Buckets, Steel Tanks;http://singapore-companies-directory.com/Company_Profiles/C70/chuan_kee_steel.htm;;;;;;;;;Furniture;DIY Hardware
Chuan Kiat Metal & Industries Pte Ltd;Singapore Hardware Company Suppliers of Marine Supplies, Hardware, Pipes, Tubes, Steel Grating, Building Supplies, Metal & Mineral Wholesalers, Mild Steel Plate, M.S. Chequered Plates, Bulb Plate, Electro-Galvanised Sheet, COld Roler Sheet, Stainless Steel Sheet & Galvanizied Serrated Gratings;http://singapore-companies-directory.com/Company_Profiles/C70/chuan_kiat_metal_industries.htm;;;;;;;;;Furniture;DIY Hardware
Chuan-Fa Trading Pte Ltd;Singapore Building Materials Company. Trading, retail & wholesale of building materials, hardware, sanitary ware, Building Materials, Construction Materials, Architectural Glass, Glass, Glass Blocks or Bricks, Glass Working Equipment, Glass Working Tools, Structural Glass;http://singapore-companies-directory.com/Company_Profiles/C71/chuan_fa_trading.htm;;;;;;;;;Furniture;DIY Hardware
Chuan Seng Heng Hardware & Engineering Co Pte Ltd;"Singapore Ship Repairers, Marine Services, Hardware, Marine Equipment, Marine Supplies, Marine Services, Construction hardware; Suppliers of all Kinds of Hardware Building Materials & API Pipes";http://singapore-companies-directory.com/Company_Profiles/C71/chuan_seng_heng_hardware_engineering.htm;;;;;;;;;Furniture;DIY Hardware
Chuan-Fa Trading Pte Ltd;Singapore Building Materials Company. Trading, retail & wholesale of building materials, hardware, sanitary ware, Building Materials, Construction Materials, Architectural Glass, Glass, Glass Blocks or Bricks, Glass Working Equipment, Glass Working Tools, Structural Glass;http://singapore-companies-directory.com/Company_Profiles/C71/chuan_fa_trading.htm;;;;;;;;;Furniture;DIY Hardware
Chung Industrial Enterprise;Singapore Aluminum Fabricators, Singapore Engineering Services. Suppliers of Architectural Hardware, Ironmongers, Ironmongery, Metalwork, Electrical Equipment, Electrical Switchboards, Engineering Services, Steel Fabricators, Machinery Fabrication, Metal Products;http://singapore-companies-directory.com/Company_Profiles/C73/chung_industrial_enterprise.htm;;;;;;;;;Furniture;DIY Hardware
Chye Heng Lee Trading Company;Singapore Hardware Trading Company. Importers & Exporters, Distributing Goods & Services such as Basic Necessities, Hardware & Electrical Accessories;http://singapore-companies-directory.com/Company_Profiles/C75/chye_heng_lee_trading_company.htm;;;;;;;;;Furniture;DIY Hardware
Chye Hin Hardware Pte Ltd;Singapore stockist, importer & exporter for Structural and Mild Steel Products. Universal Beams and Columns, Light Beams and Joists, Bearing Piles, Steel Piles, Sheet Piles, Seamless Pipes, Carbon Steel Boiler Tubes, Heat Exchanger Tubes, Circular Steel Tubes, Welded Steel Pipes, Carbon Steel Pipes, Plain Channels, Lipped Channel, Galvanised Serrated Gratings, Expanded Metals, Square Bars, Carbon Steel Bars, Stainless Steel Products, Stainless Steel Sheets & Plates, Stainless Steel Angles & Flats, Stainless Steel Round Bars, Stainless Steel Welded Channels, Stainless Steel Welded Tubing, Stainless Steel Pipes;http://singapore-companies-directory.com/Company_Profiles/C75/chye_hin_hardware.htm;;;;;;;;;Furniture;DIY Hardware
Chye Seng Paints & Hardware Company;Singapore Hardware Company Suppliers of Paints, Coatings, Hardware, Keys, Locks, Fasteners;http://singapore-companies-directory.com/Company_Profiles/C76/chye_seng_paints_hardware.htm;;;;;;;;;Furniture;DIY Hardware
D & E Manufacturing Pte Ltd;Singapore Industrial Supplies Company Suppliers of Industrial Equipment, Industrial Supplies, Industrial Services, Aluminum Molds, Die Casting Molds, Die Castings, Injection Moldings, Plastic Moldings, Metal Products, Metals, Moldings, Plastic Machinery, Steel Molds, Steelwork;http://singapore-companies-directory.com/Company_Profiles/D1/d_e_manufacturing.htm;;;;;;;;;Furniture;DIY Hardware
F T Services (S) Pte Ltd;Singapore Engineering Company Suppliers of Marine Repairs, Marine Equipment, Marine Equipment, Marine Supplies, Marine Services, Metal Products, Pipes, Pipe Fittings, Industrial Equipment, Industrial Supplies, Industrial Services, Fabricated Structures, Fabricating Services, Fabricators, Steel Products, Trading Company, Pipe Repair Products, Emergency Boat Leak Products, Engineering Products, Stainless Steel Hose Clips;http://singapore-companies-directory.com/Company_Profiles/F1/ft_services.htm;;;;;;;;;Furniture;DIY Hardware
G & L Hardware Marketing Pte Ltd;Singapore Hardware Company represents many Asian and European brands of electrical machines & tools, air-compressors for general industries & special purpose oil less compressor for the dental professional. Electric Power Tools, Bi-metal Hole Saws, Magnetic Boring Machines & Cutters, Aerosol Paint, Abrasive Cuttings & Grinding Discs, Masonry Drill Bits, Drill Chucks, Inverter Welding Sets, Rotary Hammers, Bench Drills, Bench Grinders & Miter Saws, Dental & Industrial Air-Compressors, Industrial High Pressure Cleaners, Hot Water High Pressure Cleaners, Industrial Vacuum Cleaners, Steam Cleaner, Safety Shoes, Micro Tools for Light Industrial Application, Submersible Pump, Adhesive Remover, Stainless Steel Polisher, Electrical Tapes;http://singapore-companies-directory.com/Company_Profiles/G1/g&l_hardware_marketing.htm;;;;;;;;;Furniture;DIY Hardware
G.C.E Engineering Pte Ltd;Singapore Engineering Company Manufacturers of Stainless Steel Commercial Kitchen Equipment, Fiberglass Fabricators, Foodservice Equipment, Gratings, Handrails, Kitchen Extraction Canopies, Kitchen Sinks, Railings;http://singapore-companies-directory.com/Company_Profiles/G1/gce_engineering.htm;;;;;;;;;Furniture;DIY Hardware
G P Manufacturing (S) Pte Ltd;Singapore suppliers of metal stamping components and sub-assembly for the electronic, computer, industrial and consumer products, including office automation equipment throughout Asia. Engineering Services, Engineers, Engineering Consultants, Engineering Works, Metalwork, Hardware, Industrial Machinery, Industrial Equipment, Industrial Supplies, Industrial Services;http://singapore-companies-directory.com/Company_Profiles/G1/gp_manufacturing.htm;;;;;;;;;Furniture;DIY Hardware
O S K Metal (S) Pte Ltd;Singapore Metal Products Company Suppliers of Architectural Hardware, Ironmongers, Ironmongery, Metalwork, Copper, Copper Products, Copper Sheets, Metal Cutting Machines, Metal Cutting Services, Metal Products, Metal Shearing, Metal Shearing Machines, Metals;http://singapore-companies-directory.com/Company_Profiles/O1/o_s_k_metal.htm;;;;;;;;;Furniture;DIY Hardware
