name,url,profile,categories,description,tel,fax,contact,email,website,address,data_source
Carsten Ovesen Design,http://singapore-companies-directory.com/Company_Profiles/C19/carsten_ovesen_design.htm,"Singapore Furniture Designers, Fabric Designs. Carsten Ovesen, a Denmark born designer who specializes in furniture design and furniture fabrics, has been residing in Singapore since 1990.",,,,,,,,,
Casa Italy Sofa Manufacturer Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C20/casa_italy_sofa.htm,"Singapore Furniture Wholesalers, Furniture Manufacturers, Furniture Distributors, Furniture Suppliers. A reputable sofa manufacturer specializing in high quality leather sofas with innovative design for the local market",,,,,,,,,
Casarredo Abundance Marketing,http://singapore-companies-directory.com/Company_Profiles/C20/casarredo_abundance_marketing.htm,"Singapore Furniture Manufacturers, Furniture Stores, Furniture Dealers. Vast experience in upholstery furniture, manufacturing high quality and affordable sofas to the consumer market",,,,,,,,,
Cathay Interiors Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C22/cathay_interiors.htm,"Singapore Interior Designers, Interior Design Consultants, Home Furnishings, Furniture. A manufacturer of quality custom-designed furniture. Project management, fit out works and occupancy-related services for hotels, financial institutions and major corporations.",,,,,,,,,
CEFLA Asia Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C24/cefla_asia.htm,"Singapore Buying Agents, Product Sourcing, Manufacturers Agents, Manufacturing Representatives, Building Materials, Construction Materials, Furniture, Kitchen Furniture, Bathroom Furniture, Office Furniture, Parquet Laminate Hardwood, Hotel furnishings, Boat furnishings, Solar Panels, Electronics & appliances Automotive products, Aerospace products, Architectural products, Window shutters & blinds Foils & Edgebanding Injection molded parts PVC extrusions, Printing Finishing Drying & Impregnation Chemicals",,,,,,,,,
Cellini Design Center Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C25/cellini_design_center.htm,"Singapore manufacturers of a large range of furniture and accessories to satisfy a wide spectrum of styles, ranging from Italian contemporary to modern classic. Bedroom Furniture, Dining Furniture, Living Furniture, Occasional Furniture, Upholstered Furniture, coffee tables, sofas, armchairs, beds",,,,,,,,,
Central Iron Furnishing Factory Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C26/central_iron_furnishing_factory.htm,"Singapore Manufactures & exporters of Steel Furniture, Steel Beds, Steel Chairs and Steel deck chairs",,,,,,,,,
CH Global Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C29/ch_global.htm,"Singapore Manufactures & trading of rattan & cane products, all kinds of furniture & furnishing, rattan wicker, bamboo, basketry, international trading & manufacturer's representative",,,,,,,,,
Chairmaster Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C30/chairmaster.htm,"Singapore Office Furniture & Office Equipment Wholesalers, Manufacturers, Distributors, Suppliers. Contract Decorating Services, Interior Decorating Services, Home Furnishings, Interior Design Consultants, Interior Designers",,,,,,,,,
Chan Pui Kee & Co,http://singapore-companies-directory.com/Company_Profiles/C32/chan_pui_kee.htm,"Singapore Blackwood furniture specialist, dealer & restorer Antiques, Sculptures, Art Shops",,,,,,,,,
Chaplin Design Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C35/chaplin_design.htm,"Singapore Interior design consultancy firm specialises in space planning and design conceptualisation of offices, labs, retail outlets, institutes, residences Suppliers of Furniture, Accessories, Bedroom Furniture, Dining Furniture, Living Room Furniture, Office Furniture, Interior Decorations",,,,,,,,,
Che Lin Kee Rattan & Cane Manufacturing Company,http://singapore-companies-directory.com/Company_Profiles/C38/che_lin_kee.htm,"Singapore Furniture Manufacturers, Furniture Stores, Furniture Dealers, Suppliers of Rattan Home Furnishings Rattan Furniture, Reed Furniture, Cane Furniture",,,,,,,,,
Chelinco Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C40/chelinco.htm,"Singapore Rattan Furniture Manufacturer, Trading Company, Suppliers of Rattan Furniture, Cane Furniture, Rattan Chairs, Rattan Tables, Chairs, Tables, Synthetic Cane Furniture, Aluminum Furniture, Cafe Furniture, Outdoor Furniture. Our quality products can be found in renowned establishment like the Shangri-La Hotel, Raffles Hotel, The Sheraton Hotel, Traders Hotel, Tanah Merah Country Club and many others in Singapore and abroad.",,,,,,,,,
Cheng Furniture Company Singapore,http://singapore-companies-directory.com/Company_Profiles/C42/cheng_furniture.htm,"Singapore Building Contractors, Construction Contractors, Renovation Contractors, Interior Decorating Services, Furniture Design, Home Furnishings",,,,,,,,,
Cheong Cheng Renovation & Carpentry Work,http://singapore-companies-directory.com/Company_Profiles/C44/cheong_cheng.htm,"Singapore Interior Designers, Interior Design Consultants, Interior Decoration Contractors, Interior Decorators. Renovation and carpentry work company with more than 30 years experience in furniture and interior decoration services",,,,,,,,,
Cheong & Mun,http://singapore-companies-directory.com/Company_Profiles/C44/cheong_mun.htm,"Singapore Furniture Company deals in re-upholstery & repair of sofas & cushions, leather & superior fabric sofas, dining chair cushions & covers, vehicle seats & cushions, custom-built office sofas, Furnishings, Office Furniture, Leather Sofas",,,,,,,,,
Chin Tian Furniture,http://singapore-companies-directory.com/Company_Profiles/C53/chin_tian_furniture.htm,"Singapore Contemporary Furniture Designers, Furniture Manufacturers, Furniture Stores, Furniture Dealers, Home Furnishings, Wholesalers, Manufacturers, Distributors, Suppliers",,,,,,,,,
Chin Yi Building Contractors,http://singapore-companies-directory.com/Company_Profiles/C54/chin_yi_building.htm,"Singapore Furniture Contractors, Construction Contractors, Renovation Contractors, Furniture Wholesalers, Furniture Manufacturers, Furniture Distributors, Furniture Suppliers",,,,,,,,,
Chng Woodworking Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C59/chng_woodworking.htm,"Singapore Furniture Manufacturing Company Suppliers of Doors, Wooden Flooring, Building Materials, Construction Materials. A specialist manufacturer of timber products for the local and export markets. Our products comprise of three main categories - doors, furniture and flooring. In addition to the manufacturing of timber products",,,,,,,,,
Chuan Bee Hoe Kee Co,http://singapore-companies-directory.com/Company_Profiles/C69/chuan_bee_hoe_kee.htm,"Singapore Furniture Manufacturing Company Furniture Stores, Furniture Dealers. Suppliers of Chairs, Children's Furniture",,,,,,,,,
Chuan Lam Production,http://singapore-companies-directory.com/Company_Profiles/C70/chuan_lam_production.htm,"Singapore Event Managers, Exhibition Organizing Company Suppliers of Chairs, Tables, Rental, Signcraft Installation. Our products includes, carpeting, kabuki system that use for launching or opening ceremony, Pipes & Drapes that can use to divide rooms, for curtain or changing room purposes. We also have furniture that can beautify event venues, use for wedding and parties, as well as conferences.",,,,,,,,,
Chun Engineering Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C72/chun_engineering.htm,"Singapore Engineering Company provides general contract works and custom made of various metal products. Suppliers of Heavy Duty Metal Cages, Mild Steel HD Cages, Fabricate of Heavy Duty Metal Cages, Mild Steel HD Cages, Stainless Steel Water Dispensers, Stainless Steel Booths, Stainless Steel Cages, Stainless Steel Square Tables, Stainless Steel Round Tables, Stainless Steel Folding Chairs, Stainless Steel Pots",,,,,,,,,
Chun Mee Lee Rattan Furniture,http://singapore-companies-directory.com/Company_Profiles/C72/chun_mee_lee_rattan_furniture.htm,"Singapore Rattan Furniture Company Suppliers of Cane Goods, Cane Furniture, Furniture Design, Furnishing Services, Furniture Restoration, Furniture Repair Services, Rattan Furniture",,,,,,,,,
Chy Chin Furniture,http://singapore-companies-directory.com/Company_Profiles/C75/chy_chin_furniture.htm,"Singapore Furniture Manufacturers, Singapore Furniture Stores, Singapore Furniture Dealers, Suppliers of Furniture and Home Furnishings",,,,,,,,,
Chye Huat Heng Furniture,http://singapore-companies-directory.com/Company_Profiles/C75/chye_huat_heng_furniture.htm,"Singapore Furniture Design, Furniture Consultancy, Furniture Services, Furnishing Services, Home Furnishings, Office Furnishing, Office Furniture Installation, Office Furniture Assembly Services, Office Refurbishment Contractors, Renovation Contractors",,,,,,,,,
Chye Hup Huat Co Sawmill Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/C75/chye_hup_huat_co_sawmill.htm,"Singapore Sawmilling Services, Plywood, MDF, Chipboard, Blockboard, Timber Logs, Squares, Post and Sawn Timbers Business, Balau, Chengal, Flat Pack Furniture, Furniture Fittings, Furniture Manufacturing Equipment, Furniture Services, Hardwoods, Kapur",,,,,,,,,
Chye Hup Joo & Co,http://singapore-companies-directory.com/Company_Profiles/C75/chye_hup_joo.htm,"Singapore Furniture Rental Company Suppliers of Wooden Boxes, Chairs & Tables",,,,,,,,,
Chye Seng Furniture,http://singapore-companies-directory.com/Company_Profiles/C76/chye_seng_furniture.htm,"Singapore Furniture Manufacturers, Furniture Stores, Furniture Dealers, Furniture Design, Furniture Services, Kitchen Units, Office Furnishing, Office Furniture, Office Furniture Installation, Office Furniture Assembly Services",,,,,,,,,
D'Associates Construction Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/D1/d_associates.htm,"Singapore Building Contractors, Construction Contractors, Renovation Contractors, Blinds, Construction, Furniture Services, Furnishing Services, Residential Building Contractors, Venetian Blinds",,,,,,,,,
D'Furn Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/D1/d_furn.htm,"Singapore Furniture Company, Furniture Manufacturers, Furniture Stores, Furniture Dealers. Suppliers of Office Furnishings, Office Furniture, , Home Furnishings, Contemporary Design Furniture, Furnishing Services",,,,,,,,,
D'zign Spectrum & Contracts,http://singapore-companies-directory.com/Company_Profiles/D1/d_zign_spectrum_contracts.htm,"Singapore Interior Design Consultancy, Interior Designers, Interior Planners, Office Furnishings, Office Furniture Installation, Office Refurbishment Contractors, Pipeline Maintenance, Pipeline Repair, Renovation Contractors",,,,,,,,,
D.Y Construction & Production Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/D1/dy_construction_production.htm,"Singapore Events Promotion, Event Managers, Exhibition Organisers, Interior Decorating Services, Directory Display Boards, Display Designers, Display Producers, Display Suppliers, Display Systems, Event Decorating Services, Event Management, Flags, Furniture Design, Furnishing Services, Interior Design Consultancy, Interior Designers, Interior Planners, Lighting, Outdoor Advertising, Party Event Organizing, Party Planning, Party Supplies, Plastic Signs, Screen Printing Equipment Supplies, Sign Systems, Silk Screen Printing, Stages, Store Fitting Lighting, Wedding Services, Wedding Supplies, Wood Signs",,,,,,,,,
Fablink Singapore Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/F1/fablink_singapore.htm,"Singapore Metal Engineering Company Suppliers of Metal Office Furniture, Office Supplies, Office Furniture, Office Equipment, Electrical Equipment, Electronics Equipment, Computer Accessories, Computer Hardware, Cages Systems, Carts, Console Systems, Cooling Distribution Equipment, Environment Monitoring Equipment, Enclosures, Racks, KVM Switching Equipment, LCD Displays, Media Filing Cabinets, Office Furniture, Technical Labs, UPS, Cheval Server Racks",,,,,,,,,
H Concept Asia Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/H1/h_concept_asia.htm,"Singapore Hotel Supplies Company Suppliers of Hotel Equipment, Banquet Furniture, Furniture Dealers, Home Furnishings, Room Service Equipment, Housekeeping Equipment, Soft Furnishing, Rooms Renovation, Table Linen",,,,,,,,,
Inroyal International Pte Ltd,http://singaporecompanieslist.blogspot.com/2013/02/inroyal-international-pte-ltd-singapore.html,"Singapore Suppliers of Wooden Handicrafts, Wooden Products, Carved Doors, Carved Wooden Swings, Wooden Building Materials",,,,,,,,,
O’Bredi Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/O1/o_bredi.htm,"Singapore Furniture Manufacturers, Furniture Stores, Furniture Dealers Suppliers of Furniture, Accessories, Dining Furniture, Living Room Furniture, Occasional Furniture, Outdoor Furniture",,,,,,,,,
Oasis Interior Design & Contract,http://singapore-companies-directory.com/Company_Profiles/O1/oasis_interior_design_contract.htm,"Singapore Interior Designers, Interior Design Consultants, Home Furnishings, Furniture",,,,,,,,,
Oasis International Corporation Pte Ltd,http://singapore-companies-directory.com/Company_Profiles/O1/oasis_international.htm,"Singapore Furniture Manufacturers, Furniture Stores, Furniture Dealers, Home Furnishings. Manufacturing and trading of furnishings and furniture",,,,,,,,,
